question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
A1,A_factual,cluster_consult,3,4276,0,196,0.00294,agentsessionrouter-codebase,bare,false,false,1,true,198,responses/cluster_consult_A1_run3.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,3,8070,0,549,0.008235,agentsessionrouter-codebase,bare,false,false,1,true,525,responses/cluster_consult_A2_run3.txt,,,,,,,3,all known cluster event types present
A3,A_factual,cluster_consult,3,4084,0,164,0.00246,agentsessionrouter-codebase,bare,false,false,1,true,234,responses/cluster_consult_A3_run3.txt,,,,,,,3,"captures stale marking, event, error, and changed_files"
A4,A_factual,cluster_consult,3,3532,0,110,0.00165,agentsessionrouter-codebase,bare,false,false,1,true,127,responses/cluster_consult_A4_run3.txt,,,,,,,3,bare args identified
A5,A_factual,cluster_consult,3,1746,4725,177,0.01683,agentsessionrouter-codebase,bare,false,false,1,true,77,responses/cluster_consult_A5_run3.txt,,,,,,,3,default 30 identified
B1,B_reasoning,cluster_consult,3,4726,4726,560,0.022578,agentsessionrouter-codebase,bare,false,false,1,true,577,responses/cluster_consult_B1_run3.txt,,,,,,,1,honest NOT IN CONTEXT/refusal; useful only if factsheet intentionally lacks this fact
B2,B_reasoning,cluster_consult,3,4233,4737,552,0.022491,agentsessionrouter-codebase,bare,false,false,1,true,833,responses/cluster_consult_B2_run3.txt,,,,,,,2,partial orphan recovery path; matched 5/6
B3,B_reasoning,cluster_consult,3,4700,4736,271,0.018273,agentsessionrouter-codebase,bare,false,false,1,true,474,responses/cluster_consult_B3_run3.txt,,,,,,,3,distinguishes all trust states and rejection condition
C1,C_open,cluster_consult,3,7901,4723,494,0.021579,agentsessionrouter-codebase,bare,false,false,1,true,972,responses/cluster_consult_C1_run3.txt,,,,,,,3,"specific, project-aware, and gives at least three concrete points"
C2,C_open,cluster_consult,3,3474,4730,331,0.019155,agentsessionrouter-codebase,bare,false,false,1,true,352,responses/cluster_consult_C2_run3.txt,,,,,,,1,honest NOT IN CONTEXT/refusal; useful only if factsheet intentionally lacks this fact
